City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,91,US,1600067858,100,42.6,-73.97,62.01,6.24
Kapaa,40,US,1600067740,69,22.08,-159.32,80.6,9.17
Esperance,0,AU,1600067859,43,-33.87,121.9,71.6,12.75
Hong Kong,40,HK,1600067561,62,22.29,114.16,89.6,17.22
Waingapu,68,ID,1600067859,40,-9.66,120.26,86.32,16.15
Thompson,75,CA,1600067581,86,55.74,-97.86,39.2,4.65
Hualmay,90,PE,1600067860,85,-11.1,-77.61,59.65,6.4
Nikolskoye,40,RU,1600067860,82,59.7,30.79,57.2,11.18
Bluff,8,NZ,1600067867,81,-46.6,168.33,48.0,1.01
Prince Albert,90,CA,1600067601,70,53.2,-105.77,48.2,4.7
São João da Barra,0,BR,1600067868,83,-21.64,-41.05,72.27,18.52
Maragogi,100,BR,1600067868,85,-9.01,-35.22,73.02,9.69
Alofi,75,NU,1600067868,60,-19.06,-169.92,71.6,13.87
Omboué,5,GA,1600067869,74,-1.57,9.26,77.4,6.49
Port Alfred,0,ZA,1600067870,54,-33.59,26.89,62.24,15.75
Saint Paul Harbor,1,US,1600067870,76,57.79,-152.41,48.2,6.93
Fortuna,90,US,1600067870,100,40.6,-124.16,57.0,0.29
Narsaq,0,GL,1600067872,55,60.92,-46.05,33.8,5.82
Tallahassee,1,US,1600067752,88,30.44,-84.28,77.0,10.29
Worland,1,US,1600067878,50,44.02,-107.96,53.6,3.36
Coahuayana Viejo,99,MX,1600067879,85,18.73,-103.68,78.75,1.81
Talnakh,75,RU,1600067879,87,69.49,88.4,55.4,13.42
Kajaani,75,FI,1600067879,87,64.23,27.73,48.2,14.99
Kerrville,40,US,1600067877,83,30.05,-99.14,73.99,4.7
Vaini,75,TO,1600067880,77,-21.2,-175.2,69.8,6.93
Non Thai,75,TH,1600067880,66,15.2,102.04,96.01,4.7
Hobart,20,AU,1600067880,43,-42.88,147.33,55.4,20.8
Nome,90,US,1600067880,87,64.5,-165.41,50.0,14.99
Ushuaia,75,AR,1600067851,49,-54.8,-68.3,46.4,27.51
Rikitea,0,PF,1600067881,84,-23.12,-134.97,73.69,14.16
Kamaishi,75,JP,1600067881,83,39.27,141.88,69.8,8.05
Dikson,100,RU,1600067882,93,73.51,80.55,41.43,20.22
Vila Franca do Campo,20,PT,1600067882,78,37.72,-25.43,71.6,13.87
George Town,20,MY,1600067709,70,5.41,100.34,86.0,4.7
Acapulco de Juárez,95,MX,1600067883,80,16.86,-99.89,78.87,2.15
Port Elizabeth,0,ZA,1600067883,55,-33.92,25.57,60.8,17.22
Dzhebariki-Khaya,100,RU,1600067884,56,62.22,135.8,56.8,4.9
Mataura,63,NZ,1600067884,81,-46.19,168.86,48.0,1.01
Baykit,1,RU,1600067884,47,61.67,96.37,65.61,2.57
Sheridan,1,US,1600067884,81,44.83,-106.92,48.2,3.36
Ust'-Koksa,100,RU,1600067885,35,50.27,85.61,64.06,0.81
Aloleng,100,PH,1600067885,72,16.13,119.78,86.18,8.61
Punta Arenas,100,CL,1600067885,65,-53.15,-70.92,44.6,20.8
Bryukhovychi,0,UA,1600067886,87,49.9,23.96,64.0,2.24
Cape Town,75,ZA,1600067768,81,-33.93,18.42,55.99,1.12
Sitka,1,US,1600067886,47,57.05,-135.33,55.4,4.7
Atuona,16,PF,1600067886,78,-9.8,-139.03,78.17,15.88
Mahébourg,75,MU,1600067886,64,-20.41,57.7,73.4,21.92
Awjilah,0,LY,1600067887,31,29.11,21.29,87.84,13.22
Dapaong,90,TG,1600067887,92,10.86,0.2,73.69,5.88
North Mankato,1,US,1600067887,93,44.17,-94.03,60.8,6.93
Kannad,98,IN,1600067888,72,20.27,75.13,80.8,6.73
Ambilobe,0,MG,1600067890,26,-13.2,49.05,90.37,10.69
Airai,52,TL,1600067890,47,-8.93,125.41,72.95,6.11
Taltal,59,CL,1600067890,78,-25.4,-70.48,54.7,4.9
Tuktoyaktuk,100,CA,1600067891,94,69.45,-133.04,37.98,26.31
Bilma,93,NE,1600067891,13,18.69,12.92,91.85,6.69
Marawi,100,PH,1600067891,81,8.0,124.29,84.0,3.0
Bougouni,59,ML,1600067892,94,11.42,-7.48,72.99,2.51
Gorontalo,3,ID,1600067895,52,0.54,123.06,85.62,5.73
Kitama,98,TZ,1600067901,51,-10.72,39.73,83.55,6.53
Lavrentiya,100,RU,1600067902,92,65.58,-171.0,42.98,12.73
Tarrafal,92,CV,1600067902,80,15.28,-23.77,79.2,3.71
Ponta do Sol,20,PT,1600067902,82,32.67,-17.1,68.0,5.23
Yellowknife,5,CA,1600067732,88,62.46,-114.35,32.0,3.36
Half Moon Bay,90,US,1600067903,87,37.46,-122.43,60.01,4.0
Avarua,14,CK,1600067903,68,-21.21,-159.78,69.8,2.24
Pacific Grove,84,US,1600067903,93,36.62,-121.92,59.0,3.74
Weligama,100,LK,1600067904,71,5.97,80.42,83.86,13.51
Kawalu,98,ID,1600067904,59,-7.38,108.21,82.24,6.11
Bakchar,100,RU,1600067905,57,57.02,82.07,61.5,4.45
Cabo San Lucas,93,MX,1600067905,91,22.89,-109.91,80.01,6.04
Lososina,11,RU,1600067905,62,49.0,140.31,63.14,8.23
Khatanga,54,RU,1600067905,47,71.97,102.5,60.64,7.36
Znamenskoye,94,RU,1600067906,63,57.13,73.83,61.03,4.29
Taoudenni,6,ML,1600067906,13,22.68,-3.98,98.91,5.14
Pevek,92,RU,1600067906,82,69.7,170.31,43.07,10.47
Grindavik,75,IS,1600067906,93,63.84,-22.43,42.8,6.93
Hithadhoo,0,MV,1600067907,66,-0.6,73.08,81.63,5.86
Bredasdorp,75,ZA,1600067907,81,-34.53,20.04,53.6,23.04
Manzhouli,4,CN,1600067907,43,49.6,117.43,61.21,11.16
Northam,0,GB,1600067907,88,51.03,-4.22,61.0,7.0
Beswān,0,IN,1600067908,41,27.65,77.88,97.79,2.71
Saint George,1,US,1600067630,11,37.1,-113.58,78.8,9.17
Hofn,100,IS,1600067908,84,64.25,-15.21,45.21,10.92
Vanimo,100,PG,1600067908,68,-2.67,141.3,85.14,7.74
Puerto Ayora,100,EC,1600067909,95,-0.74,-90.35,66.0,7.0
Eilat,0,IL,1600067909,54,29.56,34.95,84.2,17.22
Cidreira,100,BR,1600067912,94,-30.18,-50.21,64.96,13.24
Deputatsky,100,RU,1600067912,56,69.3,139.9,46.89,15.86
Ulaanbaatar,75,MN,1600067912,45,47.91,106.88,48.2,13.42
Santa Rosa,100,PH,1600067912,60,14.31,121.11,90.18,4.21
São Francisco de Assis,62,BR,1600067913,92,-29.55,-55.13,57.42,9.24
Tonj,100,SS,1600067913,83,7.27,28.68,77.99,1.21
Upernavik,77,GL,1600067913,89,72.79,-56.15,29.39,6.6
Qaanaaq,81,GL,1600067913,79,77.48,-69.36,21.51,11.12
Lata,40,PT,1600067914,100,40.16,-8.33,66.99,3.36
Oistins,75,BB,1600067744,88,13.07,-59.53,80.6,9.17
Dolores,0,AR,1600067916,71,-36.31,-57.68,39.63,9.06
Marystown,100,CA,1600067771,100,47.17,-55.15,57.99,14.61
Provideniya,90,RU,1600067917,87,64.38,-173.3,48.2,8.95
Severo-Kuril'sk,10,RU,1600067917,79,50.68,156.12,51.37,13.67
Dingle,55,PH,1600067918,75,11.0,122.67,86.79,7.54
Torbay,90,CA,1600067918,76,47.67,-52.73,55.99,17.22
Busselton,97,AU,1600067919,33,-33.65,115.33,72.0,3.4
Castro,100,BR,1600067919,46,-24.79,-50.01,65.73,3.6
Atar,1,MR,1600067920,22,20.52,-13.05,89.51,6.22
Dédougou,0,BF,1600067920,90,12.47,-3.47,74.98,7.0
Lagoa,99,PT,1600067920,73,39.05,-27.98,69.12,24.76
Sakaiminato,40,JP,1600067921,69,35.55,133.23,77.0,8.05
Zhigansk,62,RU,1600067923,57,66.77,123.37,53.51,17.69
Porkhov,90,RU,1600067923,93,57.77,29.56,55.4,4.47
Katihar,98,IN,1600067924,70,25.53,87.58,88.41,6.29
Luwuk,40,ID,1600067924,58,-0.95,122.79,83.98,9.46
Vostok,100,RU,1600067925,60,46.49,135.88,59.27,1.59
Edgewater,90,US,1600067925,100,28.99,-80.9,78.8,3.36
Guerrero Negro,0,MX,1600067925,57,27.98,-114.06,75.67,7.83
Radzyń Podlaski,1,PL,1600067925,88,51.78,22.62,64.0,9.17
San Juan,0,AR,1600067926,39,-31.54,-68.54,50.74,9.44
Kemijärvi,61,FI,1600067926,88,66.71,27.43,43.61,5.99
Codrington,0,AU,1600067926,77,-38.27,141.97,55.06,10.16
Nchelenge,0,ZM,1600067927,36,-9.35,28.73,85.01,0.2
Levelland,75,US,1600067927,82,33.59,-102.38,66.99,6.93
Tanout,6,NE,1600067927,61,14.97,8.89,83.84,9.91
Carnarvon,0,AU,1600067927,57,-24.87,113.63,78.8,12.75
Qaqortoq,0,GL,1600067928,55,60.72,-46.03,33.8,5.82
Lukovetskiy,90,RU,1600067928,93,64.3,41.92,51.8,8.95
Geraldton,61,AU,1600067928,28,-28.77,114.6,86.0,11.41
Punta de Bombón,58,PE,1600067928,81,-17.17,-71.79,58.41,3.33
Imbituba,34,BR,1600067929,94,-28.24,-48.67,69.8,11.41
Bīrpur,69,IN,1600067929,69,26.52,87.02,87.85,3.02
Cluses,90,FR,1600067929,82,46.06,6.58,66.2,3.38
Jamestown,90,US,1600067858,72,42.1,-79.24,62.01,8.05
New Norfolk,38,AU,1600067930,71,-42.78,147.06,52.0,5.99
Namatanai,100,PG,1600067930,75,-3.67,152.43,83.14,11.65
Krabi,75,TH,1600067930,62,8.07,98.91,89.6,9.17
Katsuura,75,JP,1600067930,83,35.13,140.3,81.0,6.93
Verkhnevilyuysk,9,RU,1600067931,53,63.45,120.32,57.88,6.91
Jiwani,92,PK,1600067931,48,25.05,61.74,88.5,5.48
Murchison,100,NZ,1600067931,86,-41.8,172.33,52.16,3.98
Chara,57,RU,1600067931,49,56.91,118.26,65.8,10.04
Hermanus,98,ZA,1600067932,88,-34.42,19.23,53.01,5.99
Ballina,0,AU,1600067932,64,-28.87,153.57,73.4,8.05
Tahoua,0,NE,1600067932,78,14.89,5.27,78.8,2.24
Barrow,90,US,1600067932,93,71.29,-156.79,39.2,16.11
La Ronge,90,CA,1600067933,93,55.1,-105.28,46.4,5.82
Ribeira Grande,75,PT,1600067933,68,38.52,-28.7,69.8,19.46
Pauini,80,BR,1600067942,85,-7.71,-66.98,73.74,0.49
Homer,92,US,1600067945,92,59.64,-151.55,53.01,5.01
Abhā,79,SA,1600067945,14,18.22,42.51,78.8,4.7
Caraquet,75,CA,1600067946,82,47.79,-64.94,60.8,12.75
Skovorodino,100,RU,1600067949,69,53.98,123.92,66.24,7.0
Santiago,0,CL,1600067654,56,-33.46,-70.65,53.01,2.24
Sambava,7,MG,1600067950,64,-14.27,50.17,77.05,17.49
Kendari,100,ID,1600067950,61,-3.94,122.5,84.15,7.34
Nybro,75,SE,1600067950,82,56.74,15.91,64.99,11.41
Chastyye,100,RU,1600067951,85,57.29,54.97,50.86,15.21
Camaná,88,PE,1600067951,79,-16.62,-72.71,58.95,4.7
Vernon,100,CA,1600067705,60,50.26,-119.27,60.01,2.42
Lerwick,75,GB,1600067831,100,60.15,-1.15,55.4,14.99
Clyde River,90,CA,1600067951,83,70.47,-68.59,35.6,2.24
Avaré,56,BR,1600067952,40,-23.1,-48.93,69.04,5.17
Sehithwa,0,BW,1600067952,18,-20.47,22.72,76.91,8.32
Honiara,20,SB,1600067723,59,-9.43,159.95,89.6,9.17
Toktogul,0,KG,1600067952,89,41.87,72.94,64.99,2.57
Husavik,75,IS,1600067952,93,66.04,-17.34,35.6,2.24
Cherskiy,57,RU,1600067953,65,68.75,161.3,48.54,12.46
Mineros,53,BO,1600067953,83,-17.12,-63.23,75.2,4.7
Juneau,1,US,1600067758,28,58.3,-134.42,57.2,8.05
Nanortalik,24,GL,1600067953,70,60.14,-45.24,38.64,5.01
Dukat,97,RU,1600067954,67,62.55,155.55,41.65,10.63
Isangel,83,VU,1600067954,82,-19.55,169.27,70.93,12.8
Arraial do Cabo,0,BR,1600067957,83,-22.97,-42.03,72.18,29.68
Killybegs,99,IE,1600067957,92,54.63,-8.45,57.99,5.01
Borovoy,54,RU,1600067964,42,55.43,86.08,64.4,6.71
Woodward,1,US,1600067964,87,36.43,-99.39,59.0,4.7
Sonoita,0,MX,1600067965,26,31.85,-112.83,84.58,1.45
Kavieng,31,PG,1600067968,75,-2.57,150.8,84.15,13.6
Río Gallegos,100,AR,1600067969,58,-51.62,-69.22,48.2,9.17
Biograd na Moru,0,HR,1600067969,42,43.94,15.45,82.4,14.99
Naantali,0,FI,1600067969,82,60.47,22.02,57.2,8.05
Pisco,40,PE,1600067969,87,-13.7,-76.22,60.01,1.12
Butaritari,0,KI,1600067970,76,3.07,172.79,83.43,14.27
Birecik,0,TR,1600067970,45,37.03,37.99,82.4,3.27
Saint-François,0,FR,1600067970,67,46.42,3.91,66.6,4.09
Longyearbyen,75,SJ,1600067970,86,78.22,15.64,37.4,3.36
Lebu,0,CL,1600067971,79,-37.62,-73.65,45.68,17.85
Hastings,0,GB,1600067971,99,50.86,0.57,62.01,5.28
Kasungu,0,MW,1600067971,35,-13.03,33.48,79.11,13.11
Leningradskiy,100,RU,1600067971,85,69.38,178.42,40.53,7.96
Hilo,90,US,1600067972,69,19.73,-155.09,77.0,8.05
Dubovskoye,97,RU,1600067972,22,47.41,42.76,74.7,8.57
Tevaitoa,19,PF,1600067972,76,-16.78,-151.5,79.05,7.45
Galesong,20,ID,1600067973,41,-5.32,119.37,91.4,11.41
Plettenberg Bay,37,ZA,1600067974,58,-34.05,23.37,58.14,12.73
Magnolia,0,US,1600067974,96,33.27,-93.24,75.99,7.09
Harper,100,LR,1600067974,88,4.38,-7.72,76.5,12.57
Neryungri,100,RU,1600067975,53,56.67,124.65,65.53,6.24
Gizo Government Station,34,SB,1600067975,73,-8.1,156.84,84.06,5.7
Sangar,100,RU,1600067976,84,63.92,127.47,47.57,13.35
Moussoro,100,TD,1600067976,59,13.64,16.49,80.58,7.36
Nālūt,0,LY,1600067976,61,30.33,10.85,73.2,4.79
Iglesias,20,IT,1600067977,82,39.31,8.54,73.99,5.82
Conceição do Araguaia,98,BR,1600067977,36,-8.26,-49.26,75.42,4.36
Tasiilaq,100,GL,1600067977,97,65.61,-37.64,27.23,2.39
Naze,75,JP,1600067979,78,28.37,129.48,82.4,3.36
Boyolangu,22,ID,1600067979,57,-8.12,111.89,83.71,11.05
Owando,95,CG,1600067979,90,-0.48,15.9,74.32,4.21
Saskylakh,100,RU,1600067980,63,71.92,114.08,55.35,4.83
Inhambane,20,MZ,1600067980,65,-23.86,35.38,78.8,9.17
Botwood,100,CA,1600067980,81,49.15,-55.35,57.99,7.0
San Fernando del Valle de Catamarca,99,AR,1600067980,63,-28.47,-65.79,50.0,3.0
Rawson,0,AR,1600067981,56,-43.3,-65.1,45.91,11.77
Mykolayivka,0,UA,1600067981,60,47.54,30.76,73.22,12.93
Ardakān,20,IR,1600067981,23,32.31,54.02,77.0,9.17
Sawākin,9,SD,1600067982,24,19.11,37.33,100.06,5.41
Mackenzie,75,CA,1600067715,70,55.3,-123.17,46.4,3.36
Hambantota,75,LK,1600067985,79,6.12,81.12,84.2,12.75
Cabedelo,75,BR,1600067985,94,-6.98,-34.83,71.6,4.7
Mount Isa,40,AU,1600067951,17,-20.73,139.5,89.6,10.29
Adrar,88,MR,1600067991,16,20.5,-10.07,93.25,10.67
Dumra,96,IN,1600067991,59,26.57,85.52,91.89,2.51
Mar del Plata,0,AR,1600067991,86,-38.0,-57.56,42.01,5.82
Saint-Pierre,90,RE,1600067992,77,-21.34,55.48,69.8,25.28
Vestmannaeyjar,75,IS,1600067996,87,63.44,-20.27,46.4,10.29
East London,0,ZA,1600068003,63,-33.02,27.91,60.8,8.05
Faanui,17,PF,1600068003,76,-16.48,-151.75,78.17,5.93
Krasnoyarskaya,100,RU,1600068003,25,47.65,42.04,74.14,9.66
Norman Wells,20,CA,1600068004,92,65.28,-126.83,28.4,2.24
Boshnyakovo,0,RU,1600068004,68,49.63,142.17,60.42,4.14
Brae,75,GB,1600068004,93,60.4,-1.35,55.4,13.87
Assiniboia,78,CA,1600068004,45,49.63,-105.98,54.91,14.36
Bireun,88,ID,1600068005,70,5.2,96.7,84.85,7.94
Şurmān,0,LY,1600068005,60,32.76,12.57,79.07,6.87
Krasne,0,UA,1600068005,87,49.91,24.61,64.0,2.24
Kirakira,30,SB,1600068005,79,-10.45,161.92,81.61,10.58
Biga,40,TR,1600068006,78,40.23,27.24,77.0,17.22
Gilgit,27,PK,1600068006,21,35.92,74.31,81.25,3.78
Popondetta,0,PG,1600068006,61,-8.75,148.25,82.92,4.65
Saint-Philippe,90,RE,1600068006,77,-21.36,55.77,69.8,25.28
Benoy,100,TD,1600068007,96,8.98,16.32,70.84,5.44
Mabaruma,10,GY,1600068007,96,8.2,-59.78,73.94,2.26
Solnechnyy,97,RU,1600068007,61,50.72,136.63,71.01,2.84
Pangnirtung,90,CA,1600068007,80,66.15,-65.71,35.44,2.19
Lae,10,PG,1600068008,67,-6.72,146.98,81.19,6.4
Kaitangata,98,NZ,1600068008,67,-46.28,169.85,50.0,7.0
Zabul Province,0,AF,1600068008,14,32.25,67.25,81.07,13.89
Ahipara,62,NZ,1600068009,73,-35.17,173.17,54.37,10.92
Kiama,21,AU,1600068009,81,-34.68,150.87,64.99,5.99
Kharabali,67,RU,1600068009,33,47.42,47.26,71.55,9.93
Keelung,40,TW,1600068010,70,25.13,121.74,91.4,13.87
Mossamedes,97,AO,1600068010,76,-15.2,12.15,65.93,7.61
Dakar,4,SN,1600068010,94,14.69,-17.44,75.2,2.24
Rome,1,US,1600068010,88,43.21,-75.46,62.6,5.82
Port Hardy,90,CA,1600068011,100,50.7,-127.42,55.4,4.7
Tiksi,7,RU,1600068011,76,71.69,128.87,45.48,8.79
Xai-Xai,0,MZ,1600068014,59,-25.05,33.64,77.85,10.07
Tutayev,90,RU,1600068014,81,57.89,39.54,51.8,13.42
Pullman,90,US,1600067995,50,46.73,-117.18,66.0,1.36
Wad Rāwah,26,SD,1600068015,49,15.16,33.14,89.78,13.76
Victor Harbor,7,AU,1600068015,79,-35.57,138.62,55.99,1.99
Doha,27,QA,1600067855,63,25.29,51.53,100.99,9.17
Bendigo,0,AU,1600067831,37,-36.77,144.28,64.0,8.1
Chengde,59,CN,1600068016,45,40.97,117.94,77.14,3.53
Acarí,89,PE,1600068016,63,-15.43,-74.62,61.39,2.68
Mazagão,75,BR,1600068018,100,-0.12,-51.29,77.0,3.36
Te Anau,69,NZ,1600068018,83,-45.42,167.72,43.09,6.38
Kenai,1,US,1600068018,81,60.55,-151.26,44.6,2.1
Løding,75,NO,1600068019,93,67.3,14.75,48.99,31.09
Chui,0,UY,1600068019,80,-33.7,-53.46,47.73,13.22
Adilcevaz,40,TR,1600068019,49,38.8,42.73,71.6,5.82
Bahawalnagar,0,PK,1600068019,25,30.55,73.39,103.96,2.55
Setermoen,40,NO,1600068020,87,68.86,18.35,48.2,9.17
Marsá Maţrūḩ,98,EG,1600068020,69,31.35,27.25,77.0,7.52
Anito,100,PH,1600068020,90,12.45,125.29,79.21,8.39
Quelimane,75,MZ,1600068020,69,-17.88,36.89,77.0,12.75
Avera,1,US,1600068021,94,33.19,-82.53,73.99,5.3
Kaputa,13,ZM,1600068021,38,-8.47,29.66,80.89,4.65
Sørland,75,NO,1600068021,81,67.67,12.69,50.0,17.22
Santa Cruz de la Sierra,78,BO,1600068022,83,-17.8,-63.17,75.2,4.7
São Filipe,54,CV,1600068022,82,14.9,-24.5,78.28,5.95
Samarai,33,PG,1600068022,84,-10.62,150.67,78.67,14.0
Leh,3,IN,1600068023,26,34.17,77.58,62.71,6.85
Vondrozo,15,MG,1600068023,77,-22.82,47.28,67.37,6.67
Muriti,20,TZ,1600068025,44,-1.98,32.92,77.0,19.46
Malé,75,MV,1600068025,74,4.17,73.51,87.8,10.29
Mount Gambier,40,AU,1600068025,66,-37.83,140.77,55.4,12.75
